timestamp,open,high,low,close,volume
20250602 10:04,142.65,142.65,142.65,142.65,0
20250602 10:09,139.85,141.85,139.85,141.85,2
20250602 10:10,141.1,141.1,141.1,141.1,1
20250602 10:42,139.05,139.05,139.05,139.05,1
20250602 10:43,137.95,137.95,137.95,137.95,2
20250602 11:07,144.65,144.85,144.65,144.85,5
20250602 11:08,143.0,143.0,143.0,143.0,1
20250602 12:21,133.55,133.55,133.55,133.55,1
20250602 12:44,125.9,125.9,125.75,125.75,7
20250602 13:45,120.3,120.3,120.3,120.3,2
20250603 10:18,129.0,129.0,129.0,129.0,0
20250603 10:31,122.6,122.6,122.6,122.6,1
20250603 11:19,141.45,141.45,141.45,141.45,1
20250603 11:20,139.9,139.9,139.9,139.9,1
20250603 11:33,135.4,135.4,135.4,135.4,1
20250603 11:41,142.85,142.85,142.85,142.85,1
20250603 11:49,140.1,140.1,140.1,140.1,1
20250603 11:55,136.6,136.6,136.6,136.6,1
20250603 12:36,140.6,140.6,140.6,140.6,1
20250603 14:00,120.6,120.6,120.6,120.6,1
20250603 14:01,120.0,121.2,120.0,120.15,4
20250603 14:03,119.35,119.35,118.85,118.85,2
20250603 14:04,119.75,119.75,119.75,119.75,2
20250603 14:05,118.95,118.95,116.9,116.9,3
20250603 14:14,117.85,117.85,117.85,117.85,1
20250603 14:19,125.35,125.35,125.35,125.35,1
20250603 14:24,118.5,118.5,118.5,118.5,11
20250603 14:29,120.5,120.5,120.5,120.5,10
20250603 14:34,116.9,116.9,116.9,116.9,1
20250603 14:36,115.35,115.35,115.35,115.35,1
20250603 14:37,114.85,114.85,114.85,114.85,1
20250603 14:41,115.7,115.7,115.7,115.7,1
20250603 14:42,114.5,114.5,114.5,114.5,1
20250603 14:44,114.85,114.85,114.85,114.85,1
20250603 14:46,114.7,114.7,114.7,114.7,1
20250604 10:03,105.75,105.75,105.0,105.0,3
20250604 10:14,107.5,107.5,106.75,106.75,2
20250604 10:17,106.55,106.55,106.55,106.55,2
20250604 10:18,106.55,106.55,106.55,106.55,1
20250604 10:19,107.65,107.65,107.65,107.65,1
20250604 10:21,104.0,104.0,104.0,104.0,1
20250604 10:25,105.2,105.2,105.2,105.2,2
20250604 10:31,103.9,103.9,103.9,103.9,1
20250604 10:43,100.5,100.5,99.95,99.95,9
20250604 11:00,99.45,99.45,99.45,99.45,1
20250604 11:03,100.4,102.35,100.4,102.35,19
20250604 11:13,101.25,101.25,101.25,101.25,3
20250604 11:31,96.85,96.85,96.85,96.85,7
20250604 11:41,97.0,97.0,97.0,97.0,6
20250604 11:44,97.0,97.0,97.0,97.0,1
20250604 11:45,97.0,97.0,97.0,97.0,1
20250604 11:57,99.0,99.0,99.0,99.0,8
20250604 12:08,96.85,96.85,96.5,96.5,5
20250604 12:10,95.05,95.05,95.05,95.05,1
20250604 12:22,97.05,97.05,97.05,97.05,1
20250604 12:35,95.8,95.8,95.8,95.8,2
20250604 12:43,93.85,93.85,93.85,93.85,1
20250604 12:47,92.25,92.25,92.25,92.25,3
