timestamp,open,high,low,close,volume
20250522 14:49,428.5,428.5,428.5,428.5,0
20250527 15:09,594.75,594.75,594.75,594.75,0
20250529 12:39,442.55,442.55,442.55,442.55,0
20250529 12:45,462.4,465.95,462.4,465.95,6
20250529 14:06,461.5,461.5,456.95,456.95,6
20250529 15:26,523.5,523.5,523.5,523.5,4
20250530 10:00,486.1,486.1,486.1,486.1,0
20250530 10:25,472.45,472.45,472.45,472.45,2
20250530 10:38,464.1,464.1,464.1,464.1,2
20250530 10:39,467.25,467.25,467.25,467.25,2
20250530 12:06,464.55,464.55,464.55,464.55,1
20250530 13:10,476.15,476.15,476.15,476.15,2
20250530 13:30,484.95,484.95,484.95,484.95,3
20250530 15:21,475.1,475.1,470.7,470.7,3
20250602 09:15,466.0,466.0,370.85,370.9,43
20250602 09:16,370.95,370.95,370.9,370.9,8
20250602 09:17,370.9,370.9,368.15,368.15,10
20250602 09:19,350.05,352.0,350.05,352.0,2
20250602 09:20,342.8,347.2,342.8,347.2,3
20250602 09:22,350.7,350.9,350.7,350.9,2
20250602 09:23,340.65,340.65,339.95,339.95,2
20250602 09:24,340.0,340.0,340.0,340.0,24
20250602 09:25,341.0,341.0,341.0,341.0,1
20250602 09:27,354.8,354.8,354.8,354.8,1
20250602 09:28,345.5,351.65,345.5,345.55,6
20250602 09:30,342.15,342.15,342.15,342.15,2
20250602 09:31,330.65,330.7,322.0,322.0,3
20250602 09:33,326.15,326.15,326.15,326.15,1
20250602 09:34,328.1,328.15,328.05,328.05,4
20250602 09:36,325.0,325.0,325.0,325.0,1
20250602 09:37,325.05,332.65,325.05,332.65,3
20250602 09:39,332.5,332.5,332.5,332.5,1
20250602 09:44,334.75,341.8,334.75,341.8,5
20250602 09:46,338.55,338.55,338.55,338.55,1
20250602 09:47,347.3,347.3,347.3,347.3,1
20250602 09:48,347.75,347.75,347.75,347.75,2
20250602 09:49,349.3,349.3,349.3,349.3,1
20250602 09:53,348.15,348.15,344.6,344.6,5
20250602 09:55,343.9,343.9,343.9,343.9,1
20250602 09:57,352.6,352.6,352.6,352.6,1
20250602 10:00,362.0,362.0,362.0,362.0,1
20250602 10:01,360.4,360.45,360.4,360.45,2
20250602 10:02,354.6,354.6,354.6,354.6,1
20250602 10:03,353.05,353.05,353.05,353.05,1
20250602 10:05,357.05,357.05,357.05,357.05,1
20250602 10:09,366.0,366.0,362.25,362.25,2
20250602 10:10,371.0,371.05,371.0,371.05,2
20250602 10:15,360.45,360.45,350.0,356.45,7
20250602 10:16,350.9,350.9,350.9,350.9,1
20250602 10:26,367.4,367.4,367.4,367.4,1
20250602 10:30,372.0,372.05,372.0,372.05,6
20250602 10:33,368.0,368.0,368.0,368.0,1
20250602 10:37,384.35,385.05,384.35,385.05,2
20250602 10:38,389.55,389.55,388.45,388.5,10
20250602 10:39,395.0,397.3,395.0,397.3,4
20250602 10:40,401.95,403.0,401.95,403.0,5
20250602 10:41,390.05,390.05,390.0,390.05,3
20250602 10:43,403.85,406.25,403.85,406.25,4
20250602 10:46,399.85,399.85,399.85,399.85,1
20250602 10:47,403.6,403.6,403.6,403.6,1
20250602 10:48,403.3,403.3,399.85,399.85,3
20250602 10:49,396.4,396.4,396.4,396.4,1
20250602 10:53,395.75,401.5,390.0,390.0,15
20250602 10:54,388.75,388.75,388.75,388.75,4
20250602 10:58,391.35,391.35,391.35,391.35,1
20250602 11:03,393.8,393.8,393.8,393.8,2
20250602 11:04,393.05,393.8,393.0,393.8,5
20250602 11:07,390.0,390.0,390.0,390.0,1
20250602 11:11,397.95,397.95,397.95,397.95,2
20250602 11:15,392.65,392.65,391.55,391.55,4
20250602 11:16,395.4,395.4,395.4,395.4,1
20250602 11:17,397.95,400.75,397.95,400.45,21
20250602 11:19,406.2,408.0,406.2,408.0,5
20250602 11:21,415.3,415.3,415.3,415.3,1
20250602 11:25,412.4,412.4,412.4,412.4,2
20250602 11:27,404.45,404.45,404.4,404.4,2
20250602 11:29,406.65,406.65,403.15,403.15,2
20250602 11:31,402.25,402.25,402.25,402.25,1
20250602 11:34,402.25,402.25,402.25,402.25,1
20250602 11:38,397.8,399.55,397.8,399.55,3
20250602 11:43,398.45,398.45,398.45,398.45,1
20250602 11:44,393.8,393.8,393.8,393.8,1
20250602 11:49,400.0,400.0,400.0,400.0,1
20250602 11:52,409.5,409.5,409.5,409.5,2
20250602 11:53,409.45,409.45,408.95,409.0,31
20250602 11:54,407.2,407.2,407.2,407.2,6
20250602 11:55,410.1,415.0,410.1,415.0,11
20250602 11:56,412.25,412.25,412.25,412.25,4
20250602 11:57,415.5,415.5,415.5,415.5,1
20250602 11:58,415.0,415.5,413.75,413.75,9
20250602 12:00,412.9,412.9,412.9,412.9,1
20250602 12:02,416.25,416.25,416.25,416.25,1
20250602 12:03,416.0,416.0,416.0,416.0,4
20250602 12:05,418.9,418.9,418.9,418.9,1
20250602 12:06,424.95,427.85,424.95,427.85,4
20250602 12:07,428.7,428.75,426.8,426.8,7
20250602 12:08,423.05,423.05,423.05,423.05,1
20250602 12:11,423.05,423.05,423.05,423.05,1
20250602 12:12,425.55,425.55,425.55,425.55,1
20250602 12:13,425.95,426.0,425.95,426.0,2
20250602 12:15,432.0,436.75,432.0,436.75,2
20250602 12:16,434.6,434.6,434.6,434.6,1
20250602 12:20,439.75,439.75,439.75,439.75,1
20250602 12:22,435.3,435.3,435.3,435.3,1
20250602 12:30,427.05,435.05,427.05,435.05,2
20250602 12:34,453.7,453.7,453.7,453.7,1
20250602 12:36,460.45,460.45,460.45,460.45,1
20250602 12:37,473.0,473.0,473.0,473.0,1
20250602 12:38,473.0,473.0,473.0,473.0,1
20250602 12:42,468.0,468.0,468.0,468.0,1
20250602 12:45,471.5,476.45,468.4,468.4,7
20250602 12:47,469.4,469.4,469.4,469.4,1
