timestamp,open,high,low,close,volume
20250513 00:00,1769.6,1874.0,1769.6,1874.0,2
20250514 00:00,1694.5,1892.4,1694.5,1841.0,19
20250515 00:00,1468.3,1468.3,1468.3,1468.3,1
20250519 00:00,1447.0,1537.85,1447.0,1522.2,101
20250520 00:00,1574.9,1778.7,1447.85,1741.6,433
20250521 00:00,1700.0,1720.0,1700.0,1720.0,2
20250522 00:00,1850.0,1880.65,1850.0,1865.35,3
20250523 00:00,1687.7,1687.7,1687.7,1687.7,1
20250527 00:00,1700.0,1719.9,1700.0,1706.65,3
20250604 00:00,1994.25,1994.25,1994.25,1994.25,1
20250605 00:00,1720.6,1734.15,1574.45,1728.45,56
20250606 00:00,1585.6,1812.25,1529.75,1536.75,105
20250609 00:00,1441.6,1501.9,1431.45,1454.95,46
20250610 00:00,1428.75,1466.75,1428.75,1466.75,2
20250611 00:00,1434.0,1434.0,1351.1,1421.95,9
20250612 00:00,1401.2,1682.0,1399.2,1682.0,3
20250613 00:00,1941.8,1941.8,1931.7,1931.7,19
20250616 00:00,1798.2,1798.2,1668.0,1668.0,4
20250617 00:00,1743.0,1743.0,1743.0,1743.0,1
20250618 00:00,1775.35,1775.35,1775.35,1775.35,1
