timestamp,open,high,low,close,volume
20250402 00:00,51358.75,52082.1,50893.45,52053.2,0
20250403 00:00,51587.25,52210.75,51562.65,52162.15,0
20250404 00:00,52044.2,52059.9,50349.8,50645.95,0
20250407 00:00,46966.6,49073.45,46966.6,48809.45,0
20250408 00:00,49888.15,50237.5,49194.0,49838.0,0
20250409 00:00,49719.4,49744.7,48905.75,49582.05,0
20250411 00:00,50516.0,50641.9,50088.6,50501.5,0
20250415 00:00,51391.9,52054.8,51100.8,51974.45,0
20250416 00:00,52090.05,52371.75,51946.65,52345.55,0
20250417 00:00,52286.35,52736.35,52061.8,52657.8,0
20250421 00:00,52935.05,54025.0,52840.0,53974.45,0
20250422 00:00,54177.65,54635.05,53843.85,54397.15,0
20250423 00:00,54777.3,55076.25,54069.4,55041.1,0
20250424 00:00,55094.05,55223.35,54912.9,54969.85,0
20250425 00:00,55080.8,55213.9,53116.15,53570.2,0
20250428 00:00,53485.3,54475.75,53481.2,54440.25,0
20250429 00:00,54613.7,55022.6,54461.0,54587.95,0
20250430 00:00,54642.6,54801.4,53887.6,54124.9,0
20250502 00:00,54004.95,54593.35,53563.9,53705.1,0
20250505 00:00,53957.6,54717.95,53951.95,54675.75,0
20250506 00:00,54806.35,54895.05,53343.05,53435.85,0
20250507 00:00,52755.4,54329.25,52747.2,54287.75,0
20250508 00:00,54486.6,54646.65,52937.0,53229.3,0
20250509 00:00,52097.3,53336.95,52093.9,53223.35,0
20250512 00:00,54750.6,55442.1,54587.65,55416.05,0
20250513 00:00,55495.9,55796.5,55265.2,55520.7,0
20250514 00:00,55718.2,56197.15,55524.0,56136.4,0
20250515 00:00,56327.6,56578.8,56053.65,56530.85,0
20250516 00:00,56760.25,57170.15,56549.2,57060.5,0
20250519 00:00,57245.4,57451.9,56816.75,57105.45,0
20250520 00:00,57416.2,57445.15,56095.05,56182.65,0
20250521 00:00,56249.6,56727.5,56001.85,56619.6,0
20250522 00:00,56506.65,56546.8,55972.7,56324.85,0
20250523 00:00,56449.65,56782.3,56235.4,56687.75,0
20250526 00:00,56872.95,57214.15,56854.0,57067.25,0
20250527 00:00,57127.15,57236.75,56799.15,57154.5,0
20250528 00:00,57254.45,57476.75,57078.0,57141.4,0
20250529 00:00,57410.5,57547.8,57068.0,57457.25,0
20250530 00:00,57630.35,57779.05,57249.8,57420.0,0
20250602 00:00,57390.05,57840.4,57197.0,57775.55,0
20250603 00:00,58025.75,58027.0,57461.55,57517.1,0
20250604 00:00,57655.65,57971.05,57278.25,57924.65,0
20250605 00:00,58137.6,58376.35,58014.5,58303.0,0
20250606 00:00,58494.2,59072.45,58281.8,59010.3,0
20250609 00:00,59388.6,59709.75,59322.35,59674.95,0
20250610 00:00,59935.0,59967.9,59576.35,59681.4,0
20250611 00:00,59823.4,59880.15,59127.3,59388.15,0
20250612 00:00,59444.0,59447.75,58344.95,58440.85,0
20250613 00:00,57246.25,58341.9,57246.25,58227.45,0
