[I 250625 09:23:39 websocket_stream:11] WebSocket Connected!
[I 250625 09:23:39 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1207032, 'exchange_timestamp': 1750823614000, 'last_traded_price': 146660, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:39 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1209783, 'exchange_timestamp': 1750823619000, 'last_traded_price': 5648405, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:39 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1210283, 'exchange_timestamp': 1750823619000, 'last_traded_price': 5648395, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:40 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1210497, 'exchange_timestamp': 1750823620000, 'last_traded_price': 5648395, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:40 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1210960, 'exchange_timestamp': 1750823620000, 'last_traded_price': 5648440, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:41 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1211181, 'exchange_timestamp': 1750823621000, 'last_traded_price': 5647915, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:41 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1211483, 'exchange_timestamp': 1750823621000, 'last_traded_price': 146660, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:41 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1211646, 'exchange_timestamp': 1750823621000, 'last_traded_price': 5648175, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:42 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1211864, 'exchange_timestamp': 1750823622000, 'last_traded_price': 5648050, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:42 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1212319, 'exchange_timestamp': 1750823622000, 'last_traded_price': 146650, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:42 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1212331, 'exchange_timestamp': 1750823622000, 'last_traded_price': 5648240, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:43 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1212549, 'exchange_timestamp': 1750823623000, 'last_traded_price': 5648285, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:43 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1212912, 'exchange_timestamp': 1750823623000, 'last_traded_price': 5648320, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:44 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1213138, 'exchange_timestamp': 1750823624000, 'last_traded_price': 5648055, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:44 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1213670, 'exchange_timestamp': 1750823624000, 'last_traded_price': 5648150, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:45 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1213877, 'exchange_timestamp': 1750823625000, 'last_traded_price': 5648275, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:45 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1214340, 'exchange_timestamp': 1750823625000, 'last_traded_price': 5648235, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:46 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1214559, 'exchange_timestamp': 1750823626000, 'last_traded_price': 5648485, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:46 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1215022, 'exchange_timestamp': 1750823626000, 'last_traded_price': 5648275, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:47 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1215248, 'exchange_timestamp': 1750823627000, 'last_traded_price': 5647920, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:47 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1215711, 'exchange_timestamp': 1750823627000, 'last_traded_price': 5648125, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:48 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1215928, 'exchange_timestamp': 1750823628000, 'last_traded_price': 5648065, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:48 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1216286, 'exchange_timestamp': 1750823628000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:48 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1216391, 'exchange_timestamp': 1750823628000, 'last_traded_price': 5647980, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:49 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1216609, 'exchange_timestamp': 1750823629000, 'last_traded_price': 5647790, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:49 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1217124, 'exchange_timestamp': 1750823629000, 'last_traded_price': 5647650, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:50 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1217341, 'exchange_timestamp': 1750823630000, 'last_traded_price': 5647900, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:50 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1217396, 'exchange_timestamp': 1750823630000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:50 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1217790, 'exchange_timestamp': 1750823630000, 'last_traded_price': 5647565, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:51 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1218008, 'exchange_timestamp': 1750823631000, 'last_traded_price': 5647430, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:51 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1218475, 'exchange_timestamp': 1750823631000, 'last_traded_price': 5647555, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:52 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1218698, 'exchange_timestamp': 1750823632000, 'last_traded_price': 5647650, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:53 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1219160, 'exchange_timestamp': 1750823632000, 'last_traded_price': 5647470, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:53 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1219381, 'exchange_timestamp': 1750823633000, 'last_traded_price': 5647290, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:53 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1219850, 'exchange_timestamp': 1750823633000, 'last_traded_price': 5647470, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:54 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1220066, 'exchange_timestamp': 1750823634000, 'last_traded_price': 5647365, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:54 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1220546, 'exchange_timestamp': 1750823634000, 'last_traded_price': 5647585, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:55 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1220763, 'exchange_timestamp': 1750823635000, 'last_traded_price': 5647435, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:55 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1221142, 'exchange_timestamp': 1750823635000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:55 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1221232, 'exchange_timestamp': 1750823635000, 'last_traded_price': 5647280, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:56 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1221450, 'exchange_timestamp': 1750823636000, 'last_traded_price': 5647305, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:56 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1221917, 'exchange_timestamp': 1750823636000, 'last_traded_price': 5647320, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:57 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1222134, 'exchange_timestamp': 1750823637000, 'last_traded_price': 5647040, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:57 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1222574, 'exchange_timestamp': 1750823637000, 'last_traded_price': 5647295, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:58 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1222678, 'exchange_timestamp': 1750823638000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:58 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1222797, 'exchange_timestamp': 1750823638000, 'last_traded_price': 5647370, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:58 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1223266, 'exchange_timestamp': 1750823638000, 'last_traded_price': 5647480, 'subscription_mode_val': 'LTP'}
[I 250625 09:23:59 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1223485, 'exchange_timestamp': 1750823639000, 'last_traded_price': 5647370, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:00 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1224226, 'exchange_timestamp': 1750823640000, 'last_traded_price': 5647170, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:00 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1224691, 'exchange_timestamp': 1750823640000, 'last_traded_price': 5647370, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:01 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1224914, 'exchange_timestamp': 1750823641000, 'last_traded_price': 5647350, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:01 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1225158, 'exchange_timestamp': 1750823641000, 'last_traded_price': 146650, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:01 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1225379, 'exchange_timestamp': 1750823641000, 'last_traded_price': 5647560, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:02 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1225600, 'exchange_timestamp': 1750823642000, 'last_traded_price': 5647365, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:02 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1225838, 'exchange_timestamp': 1750823642000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:02 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1226034, 'exchange_timestamp': 1750823642000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
